,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
123,6,2009,Durban,"April 21, 2009",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Win By Runs,Kolkata Knight Riders,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,
124,7,2009,Cape Town,"April 22, 2009",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,24,0,AC Gilchrist,Newlands,M Erasmus,AM Saheba,
125,8,2009,Durban,"April 23, 2009",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,
126,9,2009,Cape Town,"April 23, 2009",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Win By Wickets,Rajasthan Royals,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,
127,10,2009,Durban,"April 24, 2009",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Kings XI Punjab,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,
128,11,2009,Durban,"April 25, 2009",Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,12,0,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel,
129,12,2009,Port Elizabeth,"April 26, 2009",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Delhi Daredevils,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling,
130,13,2009,Cape Town,"April 26, 2009",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Win By Runs,Kings XI Punjab,27,0,KC Sangakkara,Newlands,M Erasmus,K Hariharan,
131,14,2009,Durban,"April 27, 2009",Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,6,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene,
132,15,2009,Port Elizabeth,"April 27, 2009",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,
133,16,2009,Centurion,"April 28, 2009",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Win By Wickets,Rajasthan Royals,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen,
134,17,2009,Durban,"April 29, 2009",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,5,MV Boucher,Kingsmead,MR Benson,TH Wijewardene,
135,18,2009,Durban,"April 29, 2009",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Win By Runs,Kings XI Punjab,3,0,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,
136,19,2009,Centurion,"April 30, 2009",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba,
137,20,2009,Centurion,"April 30, 2009",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Chennai Super Kings,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen,
138,21,2009,East London,"May 1, 2009",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,9,0,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore,
139,22,2009,Durban,"May 1, 2009",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,8,0,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi,
140,23,2009,Port Elizabeth,"May 2, 2009",Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Win By Wickets,Rajasthan Royals,0,3,YK Pathan,St George's Park,S Asnani,BG Jerling,
141,24,2009,Johannesburg,"May 2, 2009",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Chennai Super Kings,18,0,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen,
142,25,2009,Port Elizabeth,"May 3, 2009",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Kings XI Punjab,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson,
143,26,2009,Johannesburg,"May 3, 2009",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene,
144,27,2009,East London,"May 4, 2009",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,78,0,MS Dhoni,Buffalo Park,BR Doctrove,M Erasmus,
145,28,2009,Durban,"May 5, 2009",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Rajasthan Royals,78,0,GC Smith,Kingsmead,SS Hazare,IL Howell,
146,29,2009,Durban,"May 5, 2009",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Delhi Daredevils,0,9,G Gambhir,Kingsmead,GAV Baxter,IL Howell,
147,30,2009,Centurion,"May 6, 2009",Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,19,0,RG Sharma,SuperSport Park,MR Benson,HDPK Dharmasena,
148,31,2009,Centurion,"May 7, 2009",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,7,A Singh,SuperSport Park,K Hariharan,DJ Harper,
149,32,2009,Centurion,"May 7, 2009",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,Win By Runs,Chennai Super Kings,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene,
150,33,2009,East London,"May 8, 2009",Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Win By Wickets,Delhi Daredevils,0,7,A Nehra,Buffalo Park,M Erasmus,SK Tarapore,
151,34,2009,Kimberley,"May 9, 2009",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,
152,35,2009,Kimberley,"May 9, 2009",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Wickets,Chennai Super Kings,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
153,36,2009,Port Elizabeth,"May 10, 2009",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling,
154,37,2009,Johannesburg,"May 10, 2009",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin,
155,38,2009,Kimberley,"May 11, 2009",Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Win By Runs,Deccan Chargers,53,0,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
156,39,2009,Centurion,"May 12, 2009",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,6,LRPL Taylor,SuperSport Park,M Erasmus,SS Hazare,
157,40,2009,Centurion,"May 12, 2009",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Win By Wickets,Mumbai Indians,0,8,Harbhajan Singh,SuperSport Park,SS Hazare,RE Koertzen,
158,41,2009,Durban,"May 13, 2009",Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Delhi Daredevils,12,0,R Bhatia,Kingsmead,DJ Harper,SL Shastri,
159,42,2009,Durban,"May 14, 2009",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper,
160,43,2009,Durban,"May 14, 2009",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,2,0,SK Warne,Kingsmead,BR Doctrove,DJ Harper,
161,44,2009,Bloemfontein,"May 15, 2009",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,B Lee,OUTsurance Oval,HDPK Dharmasena,IL Howell,
162,45,2009,Port Elizabeth,"May 16, 2009",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Wickets,Chennai Super Kings,0,7,ML Hayden,St George's Park,SK Tarapore,SJA Taufel,
163,46,2009,Johannesburg,"May 16, 2009",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,6,RG Sharma,New Wanderers Stadium,RE Koertzen,S Ravi,
164,47,2009,Johannesburg,"May 17, 2009",Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Runs,Kings XI Punjab,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,RB Tiffin,
165,48,2009,Bloemfontein,"May 17, 2009",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Win By Runs,Delhi Daredevils,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,
166,49,2009,Centurion,"May 18, 2009",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin,
167,50,2009,Johannesburg,"May 19, 2009",Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin,
168,51,2009,Durban,"May 20, 2009",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel,
169,52,2009,Durban,"May 20, 2009",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel,
170,53,2009,Centurion,"May 21, 2009",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Wickets,Delhi Daredevils,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi,
171,54,2009,Centurion,"May 21, 2009",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,12,0,MK Pandey,SuperSport Park,IL Howell,S Ravi,
172,55,2009,Centurion,"May 22, 2009",Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Win By Wickets,Deccan Chargers,0,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper,
173,56,2009,Johannesburg,"May 23, 2009",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel,
174,57,2009,Johannesburg,"May 24, 2009",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Deccan Chargers,6,0,A Kumble,New Wanderers Stadium,RE Koertzen,SJA Taufel,
