,,,,,,,,,,,,,,,,,,,
id,Match #,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,Result Type,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
403,22,2013,Jaipur,"April 17, 2013",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Win By Runs,Rajasthan Royals,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
404,23,2013,Delhi,"April 18, 2013",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,
405,24,2013,Hyderabad,"April 19, 2013",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,CK Nandan,
406,25,2013,Kolkata,"April 20, 2013",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Chennai Super Kings,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,
407,26,2013,Bangalore,"April 20, 2013",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
408,27,2013,Delhi,"April 21, 2013",Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Win By Wickets,Delhi Daredevils,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,
409,28,2013,Chandigarh,"April 21, 2013",Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,
410,29,2013,Chennai,"April 22, 2013",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,
411,30,2013,Bangalore,"April 23, 2013",Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Royal Challengers Bangalore,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
412,31,2013,Dharamsala,"May 16, 2013",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Kings XI Punjab,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,
413,32,2013,Kolkata,"April 24, 2013",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Mumbai Indians,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi,
414,33,2013,Chennai,"April 25, 2013",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,
415,34,2013,Kolkata,"April 26, 2013",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,
416,35,2013,Jaipur,"April 27, 2013",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Rajasthan Royals,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,
417,36,2013,Mumbai,"April 27, 2013",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
418,37,2013,Chennai,"April 28, 2013",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Chennai Super Kings,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,
419,38,2013,Raipur,"April 28, 2013",Delhi Daredevils,Pune Warriors,Pune Warriors,field,normal,0,Win By Runs,Delhi Daredevils,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,
420,39,2013,Jaipur,"April 29, 2013",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,
421,40,2013,Mumbai,"April 29, 2013",Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,
422,41,2013,Pune,"April 30, 2013",Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
423,42,2013,Hyderabad,"May 1, 2013",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
424,43,2013,Raipur,"May 1, 2013",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Delhi Daredevils,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,
425,44,2013,Chennai,"May 2, 2013",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
426,45,2013,Pune,"May 2, 2013",Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,normal,0,Win By Runs,Royal Challengers Bangalore,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,
427,46,2013,Kolkata,"May 3, 2013",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,
428,47,2013,Hyderabad,"May 4, 2013",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
429,48,2013,Bangalore,"May 14, 2013",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi,
430,49,2013,Mumbai,"May 5, 2013",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
431,50,2013,Jaipur,"May 5, 2013",Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Win By Wickets,Rajasthan Royals,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,
432,51,2013,Bangalore,"April 9, 2013",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel,
433,52,2013,Jaipur,"May 7, 2013",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Win By Wickets,Rajasthan Royals,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker,
434,53,2013,Mumbai,"May 7, 2013",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi,
435,54,2013,Hyderabad,"May 8, 2013",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Runs,Chennai Super Kings,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,
436,55,2013,Chandigarh,"May 9, 2013",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi,
437,56,2013,Pune,"May 9, 2013",Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
438,57,2013,Delhi,"May 10, 2013",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Royal Challengers Bangalore,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath,
439,58,2013,Pune,"May 11, 2013",Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Win By Wickets,Mumbai Indians,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
440,59,2013,Chandigarh,"May 11, 2013",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Sunrisers Hyderabad,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker,
441,60,2013,Ranchi,"May 12, 2013",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath,
442,61,2013,Jaipur,"May 12, 2013",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan,
443,62,2013,Delhi,"April 23, 2013",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath,
444,63,2013,Mumbai,"May 13, 2013",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Mumbai Indians,0,7,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel,
445,64,2013,Ranchi,"May 15, 2013",Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Pune Warriors,7,0,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath,
446,65,2013,Chennai,"May 14, 2013",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker,
447,66,2013,Mumbai,"May 15, 2013",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Mumbai Indians,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani,
448,67,2013,Chandigarh,"May 6, 2013",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong,
449,68,2013,Hyderabad,"May 17, 2013",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Win By Runs,Sunrisers Hyderabad,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary,
450,69,2013,Dharamsala,"May 18, 2013",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Kings XI Punjab,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan,
451,70,2013,Pune,"May 19, 2013",Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Win By Runs,Pune Warriors,38,0,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,
452,71,2013,Bangalore,"May 18, 2013",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Royal Challengers Bangalore,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker,
453,72,2013,Hyderabad,"May 19, 2013",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
454,73,2013,Delhi,"May 21, 2013",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,48,0,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker,
455,74,2013,Delhi,"May 22, 2013",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Rajasthan Royals,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,
456,75,2013,Kolkata,"May 24, 2013",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Win By Wickets,Mumbai Indians,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel,
457,76,2013,Kolkata,"May 26, 2013",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel,
458,1,2014,Abu Dhabi,"April 16, 2014",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Win By Runs,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,
459,2,2014,Sharjah,"April 17, 2014",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,
460,3,2014,Abu Dhabi,"April 18, 2014",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Win By Wickets,Kings XI Punjab,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
461,4,2014,Abu Dhabi,"April 18, 2014",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth,
462,5,2014,,"April 19, 2014",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,
463,6,2014,,"April 19, 2014",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Win By Wickets,Delhi Daredevils,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,
464,7,2014,Sharjah,"April 20, 2014",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,
465,8,2014,Abu Dhabi,"April 21, 2014",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,
466,9,2014,Sharjah,"April 22, 2014",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Runs,Kings XI Punjab,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,
467,10,2014,,"April 23, 2014",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Chennai Super Kings,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,
468,11,2014,Sharjah,"April 24, 2014",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Kolkata Knight Riders,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
469,12,2014,,"April 25, 2014",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Win By Runs,Sunrisers Hyderabad,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,
470,13,2014,,"April 25, 2014",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Win By Wickets,Chennai Super Kings,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,
471,14,2014,Abu Dhabi,"April 26, 2014",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,
472,15,2014,Abu Dhabi,"April 26, 2014",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Kings XI Punjab,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,
473,16,2014,Sharjah,"April 27, 2014",Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Win By Wickets,Delhi Daredevils,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,
474,17,2014,Sharjah,"April 27, 2014",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,
475,18,2014,,"April 28, 2014",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,
476,19,2014,Abu Dhabi,"April 29, 2014",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,0,Win By Wickets,Rajasthan Royals,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,
477,20,2014,,"April 30, 2014",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Runs,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus,
478,21,2014,Ranchi,"May 2, 2014",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Win By Runs,Chennai Super Kings,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,
479,22,2014,Mumbai,"May 3, 2014",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Win By Wickets,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin,
480,23,2014,Delhi,"May 3, 2014",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Wickets,Rajasthan Royals,0,7,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi,
481,24,2014,Bangalore,"May 4, 2014",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Wickets,Royal Challengers Bangalore,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,
482,25,2014,Ahmedabad,"May 5, 2014",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Runs,Rajasthan Royals,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan,
483,26,2014,Delhi,"May 5, 2014",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
484,27,2014,Mumbai,"May 6, 2014",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Mumbai Indians,19,0,RG Sharma,Wankhede Stadium,S Ravi,K Srinath,
485,28,2014,Delhi,"May 7, 2014",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,
486,29,2014,Cuttack,"May 7, 2014",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Runs,Kings XI Punjab,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,
487,30,2014,Ahmedabad,"May 8, 2014",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,
488,31,2014,Bangalore,"May 9, 2014",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Kings XI Punjab,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,
489,32,2014,Delhi,"May 10, 2014",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Win By Wickets,Sunrisers Hyderabad,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
490,33,2014,Mumbai,"May 10, 2014",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,
491,34,2014,Cuttack,"May 11, 2014",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,
492,35,2014,Bangalore,"May 11, 2014",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Rajasthan Royals,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
493,36,2014,Hyderabad,"May 12, 2014",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Mumbai Indians,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,
494,37,2014,Ranchi,"May 13, 2014",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Win By Wickets,Chennai Super Kings,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
495,38,2014,Bangalore,"May 13, 2014",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,
496,39,2014,Hyderabad,"May 14, 2014",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,
497,40,2014,Cuttack,"May 14, 2014",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,
498,41,2014,Ahmedabad,"May 15, 2014",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Rajasthan Royals,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
499,42,2014,Ranchi,"May 18, 2014",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Win By Wickets,Royal Challengers Bangalore,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
500,43,2014,Hyderabad,"May 18, 2014",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Win By Wickets,Kolkata Knight Riders,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,
501,44,2014,Ahmedabad,"May 19, 2014",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Win By Runs,Mumbai Indians,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,
502,45,2014,Delhi,"May 19, 2014",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,
503,46,2014,Hyderabad,"May 20, 2014",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Win By Wickets,Sunrisers Hyderabad,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,
504,47,2014,Kolkata,"May 20, 2014",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,
505,48,2014,Chandigarh,"May 21, 2014",Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
506,49,2014,Kolkata,"May 22, 2014",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Win By Runs,Kolkata Knight Riders,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,
507,50,2014,Ranchi,"May 22, 2014",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Win By Wickets,Sunrisers Hyderabad,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
508,51,2014,Mumbai,"May 23, 2014",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Win By Runs,Mumbai Indians,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,
509,52,2014,Chandigarh,"May 23, 2014",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Win By Runs,Kings XI Punjab,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,
510,53,2014,Bangalore,"May 24, 2014",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,
511,54,2014,Kolkata,"May 24, 2014",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Win By Wickets,Kolkata Knight Riders,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,
512,55,2014,Chandigarh,"May 25, 2014",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Wickets,Kings XI Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,
513,56,2014,Mumbai,"May 25, 2014",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Win By Wickets,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,
514,57,2014,Kolkata,"May 27, 2014",Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Win By Runs,Kolkata Knight Riders,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,
515,58,2014,Mumbai,"May 28, 2014",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Win By Wickets,Chennai Super Kings,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,
